date,value
20200720,4111.19
20200717,4070.94
20200716,4058.98
20200715,4062.74
20200714,4056.32
20200713,4031.32
20200710,3942.88
20200709,3918.61
20200708,3966.31
20200707,4006.46
20200706,4055.31
20200702,3976.03
20200701,3943.97
20200630,3927.39
20200629,3947.76
20200626,3926.76
20200625,3931.58
20200624,3921
20200623,3990.43
20200622,3936.82
20200619,3976.16
20200618,3976.16
20200617,3983.17
20200616,4005.12
20200615,3888.88
20200612,3905.24
20200611,3880.42
20200610,4049.18
20200609,4089.56
20200608,4128.9
20200605,4137.79
20200604,4078.41
20200603,4076.62
20200602,4033.99
20200601,3999.21
20200529,3957.99
20200528,3998.19
20200527,3953.83
20200526,3880.13
20200522,3787.37
20200521,3765.34
20200520,3765.34
20200519,3706.89
20200518,3693.96
20200515,3511.9
20200514,3514.16
20200513,3605.11
20200512,3699.07
20200511,3672.36
20200508,3684.59
20200507,3657.05
20200506,3602.58
20200505,3615.92
20200504,3580.93
20200501,3739.21
20200430,3739.21
20200429,3748.91
20200428,3615.96
20200427,3505.58
20200424,3468.78
20200423,3502.72
20200422,3455.79
20200421,3347.8
20200420,3461.63
20200417,3470.13
20200416,3382.79
20200415,3385.76
20200414,3534.09
20200413,3467.26
20200409,3467.26
20200408,3434.52
20200407,3444.02
20200406,3336.79
20200403,3254.01
20200402,3294.22
20200401,3263.12
20200331,3382.46
20200330,3225.08
20200327,3209.09
20200326,3321.67
20200325,3252.2
20200324,3112.07
20200323,2911.42
20200320,3040.69
20200319,3011.97
20200318,2905.76
20200317,2982.67
20200316,2935.31
20200313,3095.49
20200312,3149.34
20200311,3504.26
20200310,3536.21
20200309,3595.94
20200306,3879.02
20200305,4024.56
20200304,4098.51
20200303,4081.84
20200302,4041.56
20200228,4026.23
20200227,4154.6
20200226,4276.3
20200225,4236.71
20200224,4317.04
20200221,4470
20200220,4483.86
20200219,4502.68
20200218,4458.79
20200214,4526.38
20200213,4548.32
20200212,4558.54
20200211,4581.49
20200210,4517.51
20200207,4525.72
20200206,4485.86
20200205,4440.14
20200204,4359.76
20200203,4294.1
20200131,4300.08
20200130,4322.74
20200129,4315.41
20200128,4323.93
20200127,4246.68
20200124,4344.26
20200123,4324.77
20200122,4352.1
20200121,4364.59
20200117,4396.48
20200116,4338.08
20200115,4295.85
20200114,4296.29
20200113,4285.54
20200110,4262.12
20200109,4239.57
20200108,4236.55
20200107,4259.85
20200106,4265.47
20200103,4265.47
20200102,4285.03
20191231,4221.98
20191230,4221.98
20191227,4255.8
20191226,4248.7
20191224,4248.7
20191223,4248.7
20191220,4236.98
20191219,4196.86
20191218,4175.99
20191217,4165.9
20191216,4135.04
20191213,4099.86
20191212,4064.77
20191211,4040.55
20191210,4035.96
20191209,4048.75
20191206,4026.46
20191205,4026.46
20191204,4036.5
20191203,3991.53
20191202,4011.41
20191129,4059.93
20191127,4077.39
20191126,4082.35
20191125,4085.96
20191122,4065.76
20191121,4057.99
20191120,4080.95
20191119,4084.72
20191118,4103.5
20191115,4122.12
20191114,4089
20191113,4132.81
20191112,4168.18
20191111,4152.45
20191108,4158.86
20191107,4168.64
20191106,4158.12
20191105,4170.52
20191104,4167.06
20191101,4113.78
20191031,4092.37
20191030,4133.72
20191029,4119.86
20191028,4140.43
20191025,4117.18
20191024,4103.07
20191023,4135.51
20191022,4110.74
20191021,4101.72
20191018,4066.93
20191017,4064.26
20191016,4043.82
20191015,4040.53
20191014,4003.76
20191011,4034.22
20191010,3958
20191009,3917.7
20191008,3899.93
20191007,3922.93
20191004,3882.99
20191003,3856.05
20191002,3903.02
20191001,3991.7
20190930,4040.16
20190927,4013.66
20190926,3967.03
20190925,3955.95
20190924,3976.02
20190923,3993.45
20190920,4037.9
20190919,4037.09
20190918,4016.62
20190917,4050.08
20190916,4078.67
20190913,4073.39
20190912,4063.23
20190911,4009.79
20190910,4009.73
20190909,3992.04
20190906,3964.74
20190905,3937.89
20190904,3878.53
20190903,3817.81
20190830,3854.72
20190829,3820.01
20190828,3753.28
20190827,3795.1
20190826,3777.22
20190823,3790.86
20190822,3839.05
20190821,3847.84
20190820,3805.9
20190819,3866.54
20190816,3809.78
20190815,3751.98
20190814,3765.29
20190813,3858.97
20190812,3840.47
20190809,3868.83
20190808,3865.33
20190807,3800.15
20190806,3814.96
20190805,3817.21
20190802,3861.99
20190801,3913.56
20190731,3909.02
20190730,3902.17
20190729,3953.01
20190726,3965.89
20190725,3994.71
20190724,3992.61
20190723,3986.52
20190722,3915.01
20190719,3911.31
20190718,3885.68
20190717,3971
20190716,4010.68
20190715,3993
20190712,3967.99
20190711,3951.69
20190710,3952.59
20190709,3952.84
20190708,4000.27
20190705,4019.9
20190703,4039.31
20190702,3996.24
20190701,4004.09
20190628,3958.34
20190627,3953.85
20190626,3959.25
20190625,3921.08
20190624,3908.8
20190621,3944.08
20190620,3944.08
20190619,3943.17
20190618,3938.9
20190617,3873.09
20190614,3901.02
20190613,3936.17
20190612,3916.07
20190611,3941.74
20190610,3859.52
20190607,3855.7
