#Digilent WaveForms Oscilloscope Acquisition
#Device Name: FYSE301_1
#Serial Number: SN:210321A1AD23
#Date Time: 2023-10-03 09:22:03.021
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 10 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.00240875,-0.002948404793647355,-0.04254614645044514
0.00241,-0.003281396989398321,-0.04221020526688827
0.00241125,-0.003614389185149287,-0.04254614645044514
0.0024125,-0.003281396989398321,-0.04254614645044514
0.00241375,-0.002615412597896389,-0.04221020526688827
0.002415,-0.003947381380900253,-0.04254614645044514
0.00241625,-0.002948404793647355,-0.04187426408333141
0.0024175,-0.003614389185149287,-0.04254614645044514
0.00241875,-0.003614389185149287,-0.04221020526688827
0.00242,-0.003281396989398321,-0.04254614645044514
0.00242125,-0.003614389185149287,-0.04254614645044514
0.0024225,-0.003614389185149287,-0.04221020526688827
0.00242375,-0.002948404793647355,-0.04187426408333141
0.002425,-0.002615412597896389,-0.04221020526688827
0.00242625,-0.002615412597896389,-0.04221020526688827
0.0024275,-0.002948404793647355,-0.04221020526688827
0.00242875,-0.002282420402145423,-0.04221020526688827
0.00243,-0.002615412597896389,-0.04187426408333141
0.00243125,-0.002282420402145423,-0.04153832289977454
0.0024325,-0.002615412597896389,-0.04221020526688827
0.00243375,-0.003281396989398321,-0.04153832289977454
0.002435,-0.002948404793647355,-0.04187426408333141
0.00243625,-0.003281396989398321,-0.04187426408333141
0.0024375,-0.002948404793647355,-0.04153832289977454
0.00243875,-0.003281396989398321,-0.04153832289977454
0.00244,-0.003281396989398321,-0.04120238171621767
0.00244125,-0.003614389185149287,-0.04153832289977454
0.0024425,-0.004280373576651219,-0.04120238171621767
0.00244375,-0.003614389185149287,-0.04153832289977454
0.002445,-0.003281396989398321,-0.04120238171621767
0.00244625,-0.003614389185149287,-0.0408664405326608
0.0024475,-0.003281396989398321,-0.04153832289977454
0.00244875,-0.003614389185149287,-0.04153832289977454
0.00245,-0.003281396989398321,-0.04120238171621767
0.00245125,-0.003281396989398321,-0.0408664405326608
0.0024525,-0.002615412597896389,-0.04053049934910394
0.00245375,-0.002948404793647355,-0.04120238171621767
0.002455,-0.002615412597896389,-0.0408664405326608
0.00245625,-0.003281396989398321,-0.04120238171621767
