Date (s),Itot (A)
2.25398e-12,0.0002920461726061914
2.30341e-12,0.0002934221535198655
2.35342e-12,0.0002947699987074184
2.40394e-12,0.0002960942734190433
2.45552e-12,0.0002974175498436709
2.50761e-12,0.0002987018489715722
2.56022e-12,0.0002998005113597888
2.61381e-12,0.0003011705560727499
2.66784e-12,0.0003023840085513804
2.72247e-12,0.0003034881056395397
2.76996e-12,0.000304542566783543
2.82373e-12,0.0003056156548149707
2.87907e-12,0.0003066919308337991
2.93567e-12,0.0003077334425036842
2.99333e-12,0.000308767431910921
3.05208e-12,0.0003097688780714912
3.11184e-12,0.0003107430890893991
3.1725e-12,0.000311682478476168
3.2341e-12,0.0003125945463302177
3.29641e-12,0.000313483158867673
3.35842e-12,0.0003143164084051946
3.42212e-12,0.0003151279945606108
3.48694e-12,0.0003159096558903456
3.55103e-12,0.0003166396696106175
3.61768e-12,0.0003173468621538022
3.68528e-12,0.0003180356649061608
3.7546e-12,0.0003186873768498445
3.81726e-12,0.0003192406667919512
3.88757e-12,0.0003198162859962961
3.95831e-12,0.0003203403421444722
4.03127e-12,0.0003208602771336075
4.1e-12,0.000321297785046147
4.17552e-12,0.0003217287609140059
4.25329e-12,0.0003221346512411644
4.33088e-12,0.0003224740057072698
4.41139e-12,0.0003228059624017063
4.493e-12,0.0003230780489096774
4.5773e-12,0.0003233066782863639
4.66079e-12,0.000323484211550052
4.7483e-12,0.0003236164579434373
4.83686e-12,0.0003236968664874694
4.93001e-12,0.0003237237535321141
5.02565e-12,0.000323691454869533
5.12507e-12,0.0003235956162116236
5.22757e-12,0.0003234320327635694
5.33211e-12,0.0003232004458660042
5.4417e-12,0.0003228861521711281
5.5583e-12,0.0003224831062188904
5.67839e-12,0.0003219882570357534
5.79263e-12,0.0003214382090226535
5.90685e-12,0.0003208433583326376
6.03035e-12,0.000320125152026768
6.15832e-12,0.0003192976442914265
6.2892e-12,0.00031837691744331
6.42257e-12,0.0003173687764448267
6.55781e-12,0.000316274969371284
6.69749e-12,0.0003150599381236995
6.83718e-12,0.0003137940882549101
6.97807e-12,0.0003124320783872961
7.11519e-12,0.0003110412785521244
7.24949e-12,0.0003096177949713846
7.38145e-12,0.000308162035888729
7.51131e-12,0.000306671855698672
7.63934e-12,0.0003051576732466938
7.76558e-12,0.0003036308707636917
7.88932e-12,0.0003020884572840978
8.01168e-12,0.0003005259250198753
8.13303e-12,0.0002989410435452734
8.2529e-12,0.0002973427842021082
8.37138e-12,0.0002957325841002981
8.48881e-12,0.000294115245859303
8.60548e-12,0.0002924758461146367
8.72189e-12,0.0002908145177377883
8.83574e-12,0.0002891666777092937
8.94894e-12,0.0002875065499847289
9.06152e-12,0.0002858351982305098
9.17358e-12,0.0002841533198281051
9.2849e-12,0.0002824640000775927
9.39578e-12,0.0002807618890075185
9.50613e-12,0.0002790601336368344
9.61588e-12,0.0002773558865355502
9.72551e-12,0.0002756384907605961
9.83437e-12,0.00027391521235269
9.94253e-12,0.0002721891767430263
1.00504e-11,0.0002704530213917315
1.01582e-11,0.0002687064894143343
1.0266e-11,0.0002669500012371504
1.03739e-11,0.0002651784885259948
1.04823e-11,0.0002633909222116019
1.05911e-11,0.0002615871505893579
1.06978e-11,0.0002598110956331195
1.08061e-11,0.0002579998274640154
1.09165e-11,0.0002561471472094222
1.10275e-11,0.000254281003860676
1.11391e-11,0.000252398941244188
1.12513e-11,0.0002505014301520815
1.13642e-11,0.0002485867193726445
1.14717e-11,0.0002467591680984789
1.15787e-11,0.0002449383976589666
